Table 1,,,,,
"Comments: 1. For Adidas and Nike, there is one more column called “sub-brand”. 2. For now, the collected data are only about clothing, without shoes. 3. The top 10 clothing brands are found on google. Reference: https://www.thetoptens.com/best-clothing-brands/ ",,,,,
Sector,Brand,Category,Gender,Product,Subtitle
fashion,Nike,tops & T-shirts,Women,breathe,women's running tank (plus size)
fashion,Nike,tops & T-shirts,Women,dry element,women's long sleeve running top (plus size)
fashion,Nike,tops & T-shirts,Women,international drip crop,women's t-shirt
fashion,Nike,tops & T-shirts,Women,the force is female,women's t-shirt
fashion,Nike,tops & T-shirts,Women,hurley staple dri fit singlet,women's tank
fashion,Nike,tops & T-shirts,Women,sportswear betrue,women's t-shirt
fashion,Nike,tops & T-shirts,Women,sportswear gym vintage,women's tank
fashion,Nike,hoodies & pullovers,Women,dry,women's long sleeve training top
fashion,Nike,hoodies & pullovers,Women,converse full zip,women's hoodie
fashion,Nike,hoodies & pullovers,Women,sportswear gym classic,women's hoodie
fashion,Nike,hoodies & pullovers,Women,sportswear rally,women's crew
fashion,Nike,hoodies & pullovers,Women,sportswear,women's crew
fashion,Nike,hoodies & pullovers,Women,converse essentials sportswear crew,women's sweatshirt
fashion,Nike,hoodies & pullovers,Women,sportswear modern,women's crew
fashion,Nike,hoodies & pullovers,Women,sportswear gym classic,women's crew
fashion,Nike,hoodies & pullovers,Women,dry,women's training jacket
fashion,Nike,hoodies & pullovers,Women,dry versa,women's training jacket (plus size)
fashion,Nike,hoodies & pullovers,Women,sportswear modern,women's cape (plus size)
fashion,Nike,hoodies & pullovers,Women,sportswear modern,women's cape
fashion,Nike,hoodies & pullovers,Women,sportswear modern crew,women's sweatshirt
fashion,Nike,hoodies & pullovers,Women,nike,women's short sleeve running hoodie
fashion,Nike,hoodies & pullovers,Women,converse shield mock neck crew,women's sweatshirt
fashion,Nike,hoodies & pullovers,Women,sportswear tech fleece,women's cape
fashion,Nike,hoodies & pullovers,Women,sportswear gym vintage,women's hoodie
fashion,Nike,hoodies & pullovers,Women,sportswear tech fleece,women's full zip hoodie (plus size)
fashion,Nike,hoodies & pullovers,Women,sportswear tech fleece,women's full zip hoodie
fashion,Nike,hoodies & pullovers,Women,hurley staple icon,women's fleece zip hoodie
fashion,Nike,hoodies & pullovers,Women,converse essentials lightweight,women's long sleeve crew
fashion,Nike,hoodies & pullovers,Women,hurley phantom winchester fleece,women's jacket
fashion,Nike,hoodies & pullovers,Women,sportswear rally funnel neck,women's sweatshirt
fashion,Nike,hoodies & pullovers,Women,zonal cooling dry knit,women's half zip golf top
fashion,Nike,hoodies & pullovers,Women,sportswear modern size,women's cape
fashion,Nike,hoodies & pullovers,Women,dry element,women's long sleeve running top
fashion,Nike,hoodies & pullovers,Women,nikelab essentials cropped,women's fleece hoodie
fashion,Nike,hoodies & pullovers,Women,therma elite,women's basketball hoodie
fashion,Nike,hoodies & pullovers,Women,converse texture ma 1 mock neck,women's sweatshirt
fashion,Nike,hoodies & pullovers,Women,converse essentials sportswear full zip,women's hoodie
fashion,Nike,hoodies & pullovers,Women,converse essentials sportswear pullover,women's hoodie
fashion,Nike,hoodies & pullovers,Women,sportswear tech fleece,women's hoodie
fashion,Nike,hoodies & pullovers,Women,sportswear rally,women's fleece hoodie
fashion,Nike,hoodies & pullovers,Women,sportswear modern,women's cardigan
fashion,Nike,hoodies & pullovers,Women,sportswear modern,women's cardigan (plus size)
fashion,Nike,hoodies & pullovers,Women,converse essentials lightweight full zip,women's hoodie
fashion,Nike,hoodies & pullovers,Women,sportswear tech fleece,women's pullover hoodie
fashion,Nike,hoodies & pullovers,Women,bunker 3 crew,women's golf top
fashion,Nike,hoodies & pullovers,Women,hurley dri fit novelty pullover,women's hoodie
fashion,Nike,hoodies & pullovers,Women,hurley one and only cloud wash pullover,women's hoodie
fashion,Nike,hoodies & pullovers,Women,sportswear rally,women's short sleeve top
fashion,Nike,hoodies & pullovers,Women,hurley one and only fleece pullover,women's hoodie
fashion,Nike,hoodies & pullovers,Women,converse knit full zip,women's hoodie
fashion,Nike,hoodies & pullovers,Women,sportswear tech fleece,women's full zip hoodie (plus size)
fashion,Nike,hoodies & pullovers,Women,converse mesh back,women's sleeveless hoodie
fashion,Nike,hoodies & pullovers,Women,dry element,women's running hoodie
fashion,Nike,hoodies & pullovers,Women,converse essentials cropped crew,women's sweatshirt
fashion,Nike,hoodies & pullovers,Women,therma sphere,women's long sleeve training top
fashion,Nike,hoodies & pullovers,Women,hurley avery pullover,women's sweater
fashion,Nike,hoodies & pullovers,Women,sportswear,women's hoodie
fashion,Nike,hoodies & pullovers,Women,converse essentials cropped love,women's crew
fashion,Nike,hoodies & pullovers,Women,hurley dri fit united fleece,women's hoodie
fashion,Nike,hoodies & pullovers,Women,hurley winchester fleece,women's jacket
fashion,Nike,hoodies & pullovers,Women,converse ma 1 fleece,women's jacket
fashion,Nike,hoodies & pullovers,Women,converse engineered full zip,women's hoodie
fashion,Nike,jackets & vests,Women,sportswear varsity,women's jacket
fashion,Nike,jackets & vests,Women,sportswear tech hypermesh,women's jacket
fashion,Nike,jackets & vests,Women,impossibly light,women's running jacket
fashion,Nike,jackets & vests,Women,sportswear advance 15,women's knit jacket
fashion,Nike,jackets & vests,Women,nikecourt,women's woven tennis jacket
fashion,Nike,jackets & vests,Women,aerolayer,women's training jacket
fashion,Nike,jackets & vests,Women,aerolayer,women's training jacket (plus size)
fashion,Nike,jackets & vests,Women,impossibly light hooded,women's running jacket (plus size)
fashion,Nike,jackets & vests,Women,sportswear advance 15,women's track jacket
fashion,Nike,jackets & vests,Women,dry,women's training jacket
fashion,Nike,jackets & vests,Women,dry versa,women's training jacket (plus size)
fashion,Nike,jackets & vests,Women,nikecourt,women's knit tennis jacket
fashion,Nike,jackets & vests,Women,sportswear windrunner,women's jacket
fashion,Nike,jackets & vests,Women,transparent,women's short sleeve golf jacket
fashion,Nike,jackets & vests,Women,flex,women's training jacket
fashion,Nike,jackets & vests,Women,tech knit,women's jacket
fashion,Nike,jackets & vests,Women,sportswear,women's woven jacket
fashion,Nike,jackets & vests,Women,hurley phantom winchester fleece,women's jacket
fashion,Nike,jackets & vests,Women,city bomber,women's running jacket
fashion,Nike,jackets & vests,Women,sportswear tech hypermesh,women's vest
fashion,Nike,jackets & vests,Women,nikelab essentials lightweight,women's jacket
fashion,Nike,jackets & vests,Women,converse metallic nylon,women's jacket
fashion,Nike,jackets & vests,Women,flex,women's training vest
fashion,Nike,jackets & vests,Women,nike,women's full zip jacket
fashion,Nike,jackets & vests,Women,converse blur nylon,women's jacket
fashion,Nike,jackets & vests,Women,converse coach,women's jacket
fashion,Nike,jackets & vests,Women,converse lightweight reflective anorak,women's packable jacket
fashion,Nike,jackets & vests,Women,trail kiger,running vest
fashion,Nike,jackets & vests,Women,vivid strike,running vest
fashion,Nike,jackets & vests,Women,shield wind,women's golf jacket
fashion,Nike,jackets & vests,Women,nike 2.0,women's golf rainsuit
fashion,Nike,jackets & vests,Women,shield wind,women's golf vest
fashion,Nike,jackets & vests,Women,dry,women's golf jacket
fashion,Nike,jackets & vests,Women,nikecourt maria,women's tennis jacket
fashion,Nike,jackets & vests,Women,zonal aeroshield,women's running jacket
fashion,Nike,jackets & vests,Women,sportswear,women's knit track jacket
fashion,Nike,jackets & vests,Women,sportswear,women's sleeveless crop top
fashion,Nike,jackets & vests,Women,sportswear tech fleece aeroloft,women's down parka
fashion,Nike,jackets & vests,Women,hurley winchester fleece,women's jacket
fashion,Nike,jackets & vests,Women,sportswear tech fleece aeroloft,women's down bomber
fashion,Nike,jackets & vests,Women,tech fleece destroyer,women's jacket
fashion,Nike,jackets & vests,Women,sportswear tech fleece,women's jacket
fashion,Nike,jackets & vests,Women,sportswear modern,women's vest
fashion,Nike,jackets & vests,Women,nikecourt,women's jacket
fashion,Nike,jackets & vests,Women,sportswear tech woven,women's jacket
fashion,Nike,jackets & vests,Women,sportswear tech fleece team brazil,women's jacket
fashion,Nike,jackets & vests,Women,hurley freda,women's jacket
fashion,Nike,jackets & vests,Women,sportswear montage,women's jacket
fashion,Nike,jackets & vests,Women,converse reflective dot,women's raincoat
fashion,Nike,jackets & vests,Women,converse coated jersey ma 1 bomber,women's jacket
fashion,Nike,jackets & vests,Women,converse metallic ma 1 bomber,women's jacket
fashion,Nike,jackets & vests,Women,converse coachs printed,women's jacket
fashion,Nike,jackets & vests,Women,aeroloft,women's running jacket
fashion,Nike,jackets & vests,Women,aeroloft,women's running vest
fashion,Nike,pants & tights,Women,pro hypercool,women's training capris (plus size)
fashion,Nike,pants & tights,Women,pro hypercool,women's training capris
fashion,Nike,pants & tights,Women,converse essentials sportswear,women's sweatpants
fashion,Nike,pants & tights,Women,jean pant 3,women's golf pants
fashion,Nike,pants & tights,Women,zonal strength,women's running tights
fashion,Nike,pants & tights,Women,power epic lux,women's running tights
fashion,Nike,pants & tights,Women,power epic,women's running tights (plus size)
fashion,Nike,pants & tights,Women,converse essentials lightweight jogger,women's pants
fashion,Nike,pants & tights,Women,power legendary,women's mid rise training tights
fashion,Nike,pants & tights,Women,zonal strength,women's training tights
fashion,Nike,pants & tights,Women,zonal strength,women's printed high rise training tights
fashion,Nike,pants & tights,Women,power epic lux,women's running crops
fashion,Nike,pants & tights,Women,pro,women's training capris
fashion,Nike,pants & tights,Women,power epic lux cool,women's running crops
fashion,Nike,pants & tights,Women,academy knit,women's soccer pants
fashion,Nike,pants & tights,Women,power epic lux solstice,women's running tights
fashion,Nike,pants & tights,Women,sportswear tech fleece,women's pants
fashion,Nike,pants & tights,Women,power legendary,women's mid rise training tights (plus size)
fashion,Nike,pants & tights,Women,power,women's running crops
fashion,Nike,pants & tights,Women,nikecourt dry,women's tennis pants
fashion,Nike,pants & tights,Women,pro hypercool,women's training tights
fashion,Nike,pants & tights,Women,power legendary,women's high rise training capris
fashion,Nike,pants & tights,Women,power legendary,women's training capris (plus size)
fashion,Nike,pants & tights,Women,sportswear,women's jdi leggings
fashion,Nike,pants & tights,Women,sportswear,women's crops
fashion,Nike,pants & tights,Women,sportswear essential,women's leggings
fashion,Nike,pants & tights,Women,power legendary,women's high rise training tights (plus size)
fashion,Nike,pants & tights,Women,power essential,women's running crops
fashion,Nike,pants & tights,Women,sportswear modern,women's pants (plus size)
fashion,Nike,pants & tights,Women,sportswear modern,women's pants
fashion,Nike,pants & tights,Women,pro hyperwarm,women's printed training tights
fashion,Nike,pants & tights,Women,pro hyperwarm,women's printed training tights (plus size)
fashion,Nike,pants & tights,Women,sportswear,women's leggings (plus size)
fashion,Nike,pants & tights,Women,pro,women's training tights
fashion,Nike,pants & tights,Women,sportswear gym classic,women's pants
fashion,Nike,pants & tights,Women,sportswear,women's logo leggings (plus size)
fashion,Nike,pants & tights,Women,sportswear leg a see,women's logo leggings
fashion,Nike,pants & tights,Women,sportswear,women's leggings (plus size)
fashion,Nike,pants & tights,Women,leg a see n7,women's leggings
fashion,Nike,pants & tights,Women,international,women's printed leggings
fashion,Nike,pants & tights,Women,pro,women's printed training tights
fashion,Nike,pants & tights,Women,sportswear gym vintage,women's logo capris
fashion,Nike,pants & tights,Women,swift,women's running pants
fashion,Nike,pants & tights,Women,power cool,women's running crops
fashion,Nike,pants & tights,Women,power epic lux,women's running capris
fashion,Nike,pants & tights,Women,power legendary,women's mid rise training pants
fashion,Nike,pants & tights,Women,sportswear gym vintage,women's logo joggers
fashion,Nike,pants & tights,Women,dry,women's golf pants
fashion,Nike,pants & tights,Women,power legendary,women's high rise training capris (plus size)
fashion,Nike,pants & tights,Women,sportswear advance 15,women's knit pants
fashion,Nike,pants & tights,Women,sportswear rally,women's pants
fashion,Nike,pants & tights,Women,international,women's capris
fashion,Nike,pants & tights,Women,nikecourt,women's tennis leggings
fashion,Nike,pants & tights,Women,sportswear tech fleece,women's pants (plus size)
fashion,Nike,pants & tights,Women,sportswear,women's printed leggings
fashion,Nike,pants & tights,Women,sportswear gym classic,women's capris
fashion,Nike,pants & tights,Women,sportswear gym vintage,women's capris
fashion,Nike,pants & tights,Women,power epic lux,women's running crops (plus size)
fashion,Nike,pants & tights,Women,power essential,women's running crops (plus size)
fashion,Nike,pants & tights,Women,power legendary,women's training pants (plus size)
fashion,Nike,pants & tights,Women,power legendary,women's mid rise training tights (plus size)
fashion,Nike,shorts,Women,dry modern tempo,women's 3 running shorts (plus size)
fashion,Nike,shorts,Women,dry tempo,women's 3 running shorts
fashion,Nike,shorts,Women,flex 2 in 1,women's 3 running shorts
fashion,Nike,shorts,Women,sportswear tech fleece,women's capris
fashion,Nike,shorts,Women,dry modern tempo,women's 3 running shorts
fashion,Nike,shorts,Women,hurley supersuede solid beachrider,women's 25 board shorts
fashion,Nike,shorts,Women,academy knit,women's soccer shorts
fashion,Nike,shorts,Women,flex,women's 5 running shorts
fashion,Nike,shorts,Women,aeroswift,women's 4 running shorts
fashion,Nike,shorts,Women,pro,women's 3 training shorts
fashion,Nike,shorts,Women,printed,women's 45 golf shorts
fashion,Nike,shorts,Women,dry,women's training shorts (plus size)
fashion,Nike,shorts,Women,pro hypercool,women's 8 shorts
fashion,Nike,shorts,Women,pro hypercool,women's 8 training shorts
fashion,Nike,shorts,Women,tournament,women's golf shorts
fashion,Nike,shorts,Women,hurley wash,women's 25 walkshorts
fashion,Nike,shorts,Women,hurley rio,women's 2 walkshorts
fashion,Nike,shorts,Women,elite stock,women's basketball shorts
fashion,Nike,shorts,Women,converse track,women's shorts
fashion,Nike,shorts,Women,vapor,women's soccer shorts
fashion,Nike,shorts,Women,essential,women's basketball shorts
fashion,Nike,shorts,Women,baseline stock,women's basketball shorts
fashion,Nike,shorts,Women,flex,women's golf shorts
fashion,Nike,shorts,Women,infiknit mid,women's training shorts
fashion,Nike,shorts,Women,sportswear,women's woven shorts
fashion,Nike,shorts,Women,hurley supersuede colin beachrider,women's 25 board shorts
fashion,Nike,shorts,Women,nikecourt,women's 5 knit tennis shorts
fashion,Nike,shorts,Women,sportswear gym classic,women's shorts
fashion,Nike,shorts,Women,sportswear advance 15,women's 375 shorts
fashion,Nike,shorts,Women,converse star chevron,women's 325 track shorts
fashion,Nike,shorts,Women,sportswear gym vintage,women's shorts
fashion,Nike,shorts,Women,sportswear gym vintage,women's romper
fashion,Nike,shorts,Women,sportswear,women's mesh shorts
fashion,Nike,shorts,Women,flex,women's 5 running shorts (plus size)
fashion,Nike,shorts,Women,dry modern tempo,women's 3 graphic running shorts
fashion,Nike,shorts,Women,nike,women's reversible training shorts
fashion,Nike,shorts,Women,pro,women's 5 training shorts
fashion,Nike,shorts,Women,nikecourt flex pure,women's tennis shorts
fashion,Nike,shorts,Women,flex,women's 3 running shorts
fashion,Nike,shorts,Women,dry city,women's 3 running shorts
fashion,Nike,shorts,Women,sportswear bonded,women's shorts
fashion,Nike,shorts,Women,pro,women's 8 shorts
fashion,Nike,shorts,Women,pro,women's training shorts
fashion,Nike,shorts,Women,hurley dri fit shortie,women's 25 walkshorts
fashion,Nike,shorts,Women,nikelab essentials,women's woven 3 training shorts
fashion,Nike,shorts,Women,dry tempo,women's 3 running shorts (plus size)
fashion,Nike,shorts,Women,power epic lux,women's 3 running shorts
fashion,Nike,shorts,Women,flex rival,women's 3 running shorts
fashion,Nike,shorts,Women,stretch woven,women's volleyball shorts
fashion,Nike,shorts,Women,sportswear vintage,women's shorts
fashion,Nike,shorts,Women,nikecourt power,women's 11 tennis shorts
fashion,Nike,shorts,Women,pro 3 cool graphic,women's training shorts
fashion,Nike,skirts & dresses,Women,nikecourt victory,women's tennis skirt
fashion,Nike,skirts & dresses,Women,nikecourt pure,women's 17 tennis skirt
fashion,Nike,skirts & dresses,Women,hurley rio,women's 345 dress
fashion,Nike,skirts & dresses,Women,hurley dri fit classic,women's 325 dress
fashion,Nike,skirts & dresses,Women,nikecourt pure,women's tennis dress
fashion,Nike,skirts & dresses,Women,hurley dri fit duo,women's 33 dress
fashion,Nike,skirts & dresses,Women,nikecourt pure,women's 1175 tennis skirt
fashion,Nike,skirts & dresses,Women,zonal cooling dri fit knit,women's golf dress
fashion,Nike,skirts & dresses,Women,sportswear tech hypermesh,women's skirt
fashion,Nike,skirts & dresses,Women,nikecourt,women's tennis skirt
fashion,Nike,skirts & dresses,Women,flex,women's golf skort
fashion,Nike,skirts & dresses,Women,nikecourt power spin,women's tennis skirt
fashion,Nike,skirts & dresses,Women,flex,women's 145 golf skort
fashion,Nike,skirts & dresses,Women,cutback,women's lacrosse kilt
fashion,Nike,skirts & dresses,Women,nikecourt power,women's tennis romper
fashion,Nike,skirts & dresses,Women,innovation links,women's golf skort
fashion,Nike,skirts & dresses,Women,sportswear tech fleece,women's skirt
fashion,Nike,skirts & dresses,Women,hurley bouquet,women's 28 dress
fashion,Nike,skirts & dresses,Women,dry,women's 145 golf skort
fashion,Nike,skirts & dresses,Women,sportswear tech fleece,women's dress
fashion,Nike,skirts & dresses,Women,precision knit print 2,women's 145 golf skort
fashion,Nike,skirts & dresses,Women,zonal cooling swing knit,women's golf skort
fashion,Nike,skirts & dresses,Women,nikecourt flex victory,women's tennis skirt
fashion,Nike,skirts & dresses,Women,majors pleated,women's golf skort
fashion,Nike,skirts & dresses,Women,nikecourt baseline,women's tennis skirt
fashion,Nike,skirts & dresses,Women,hurley mason,women's dress
fashion,Nike,skirts & dresses,Women,hurley ruby maxi,women's 595 dress
fashion,Nike,skirts & dresses,Women,hurley rio maxi,women's 56 dress
fashion,Nike,skirts & dresses,Women,hurley dri fit surf,women's poncho
fashion,Nike,skirts & dresses,Women,flex woven,women's golf romper
fashion,Nike,skirts & dresses,Women,tournament knit,women's golf skort
fashion,Nike,skirts & dresses,Women,nikecourt power maria,women's tennis skirt
fashion,Nike,skirts & dresses,Women,nikecourt power maria,women's tennis dress
fashion,Nike,skirts & dresses,Women,sportswear modern,women's dress
fashion,Nike,skirts & dresses,Women,nikelab essentials,women's 345 dress
fashion,Nike,skirts & dresses,Women,sportswear bonded,women's skirt
fashion,Nike,skirts & dresses,Women,sportswear gym classic,women's dress
fashion,Nike,skirts & dresses,Women,fringe flip,women's golf skort
fashion,Nike,skirts & dresses,Women,flex flip print,women's 145 golf skort
fashion,Nike,surf & swimwear,Women,hurley quick dry cheeky,women's surf bottoms
fashion,Nike,surf & swimwear,Women,hurley phantom beachrider,women's 25 board shorts
fashion,Nike,surf & swimwear,Women,hurley quick dry tie dye,women's surf top
fashion,Nike,surf & swimwear,Women,hurley dri fit icon,women's surf shirt
fashion,Nike,surf & swimwear,Women,hurley quick dry boy shorts,women's surf bottoms
fashion,Nike,surf & swimwear,Women,hurley supersuede solid beachrider,women's 25 board shorts
fashion,Nike,surf & swimwear,Women,hurley phantom solid,women's 5 board shorts
fashion,Nike,surf & swimwear,Women,hurley one and only,women's surf shirt
fashion,Nike,surf & swimwear,Women,hurley quick dry icon,women's surf shirt
fashion,Nike,surf & swimwear,Women,hurley quick dry triangle,women's surf top
fashion,Nike,surf & swimwear,Women,hurley one and only,women's long sleeve surf shirt
fashion,Nike,surf & swimwear,Women,hurley quick dry high neck,women's surf top
fashion,Nike,surf & swimwear,Women,hurley quick dry ventura,women's surf bottoms
