100_percent: RB intensifier 
a_hell_of: RB pro 
a_hell_yea: A ac coolC oral 
a_hell_yeah: A ac coolC oral 
a_horizon: N nc 
a_huge_let_down: A ac troubleW 
a_la: P /about/ 
a_la_carte: A abstract ac 
a_let_down: A ac troubleW 
a_little_other: pureDT quant 
a_little_out_of_hand: RB nt 
a_little_such: pureDT quant 
a_lot_of: pureDT quant 
a_lot_of_other: pureDT quant 
a_man_of_his_word: N nc pt 
a_massive_let_down: A ac troubleW 
a_must_have: N count good nc 
a_piece_of_shit: N curse nc 
a_sense_of_family: N nc pt 
a_very_few_of: count pureDT quant 
a_wealth_of: pureDT quant 
a_while_ago: RB idiomPP 
a_while_back: RB idiomPP 
a_woman_of_her_word: N nc pt 
abdominal_drainage: N nc treatment 
abdominal_hysterectomy: N nc treatment 
abdominal_radiotherapy: N nc treatment 
abdominal_surgery: N nc treatment 
abdominal_wall: N bodyPart nc 
abdominal_wall_closure: N nc treatment 
abducens_nerve: N bodyPart nc 
abducent_nerve: N bodyPart nc 
abide_by: VB chgFit perOrgV vc 
abney_level: N nc tool 
abortion_inducing_drug: N nc prod 
abortion_pill: N nc prod 
above_and_beyond_the_call_of_duty: A ac idiomPP 
above_average: A ac good 
above_board: A ac idiomPP 
above_knee_amputation: N nc treatment 
above_reproach: A ac idiomPP 
above_suspicion: A ac idiomPP 
above_the_law: A ac idiomPP pred 
abrading_stone: N nc tool 
abrasive_material: N nc prod 
abscess_drainage: N nc treatment 
absolute_zero: N abstract nc 
absorbent_material: N nc prod 
absorption_indicator: N nc prod 
absorption_unit: N nc unit 
academic_costume: N nc tool 
academic_department: N nc orgHN 
academic_gown: N nc tool 
academic_robe: N nc tool 
acceleration_unit: N nc unit 
accelerator_pedal: N nc tool 
access_code: N nc tool 
accessory_after_the_fact: N nc per 
accessory_before_the_fact: N nc per 
accessory_during_the_fact: N nc per 
accommodation_endorser: N nc per 
accompanying_vein: N bodyPart nc 
according_as: SC 
according_to: P 
according_to_all_accounts: RB idiomPP 
account_manager: N job nc 
accounting_firm: N com nc 
accounts_services_manager: N job nc 
acetate_disk: N nc tool 
achilles_tendon: N bodyPart nc 
acid_base_indicator: N nc prod 
acid_food_treatment: N nc tech 
acid_halide: N nc prod 
acid_head: N nc per 
acid_production: N nc ntN 
acid_tolerance: N abstract nc 
aclinic_line: N nc 
acne_scar: N nc nt 
acorn_tube: N nc tool 
acoustic_delay_line: N nc tool 
acoustic_device: N nc prod 
acoustic_gramophone: N nc tool 
acoustic_modem: N nc tool 
acquisition_marketing_manager: N job nc 
acre_foot: N nc unit 
acre_inch: N nc unit 
acrid_smoke: N nc ntN 
across_the_board: RB idiomPP 
acrylate_resin: N nc prod 
acrylic_resin: N nc prod 
act_out: VB nt vc 
act_up: nt vi 
acting_out: VB abstract vc 
action_officer: N nc per 
action_title: N nc prod 
activating_agent: N nc prod 
active_agent: N nc prod 
active_application: N nc tool 
active_immunization: N nc treatment 
active_matrix_screen: N nc tool 
active_state: N abstract nc 
actor's_agent: N job nc 
actuarial_programmer_analyst: N count job nc 
acupuncture_analgesia: N nc treatment 
acute_toxicity: N abstract nc nt 
acyl_halide: N nc prod 
ad_agency: N com nc 
ad_solution_manager-music: N job nc 
ad_solutions_manager-small_biz: N job nc 
add_in: VB moreC vc 
add_on: VB chgInclude moreC vc 
add_on_therapy: N nc treatment 
adding_machine: N count nc tool 
additional_charge: N nc nt 
addressing_machine: N nc tool 
adenosine_deaminase_inhibition: N nc treatment 
adenosine_deaminase_level: N abstract nc 
adenylate_cyclase_toxin: N nc nt 
adhesive_bandage: N nc tool 
adhesive_material: N nc prod 
adhesive_tape: N nc prod 
adipofascial_flap: N nc treatment 
adipose_cell: N bodyPart nc 
adjacent_to: P /next_to/ 
adjustable_wrench: N count nc prod tool 
adjutant_general: N job nc 
adjuvant_chemotherapy: N nc treatment 
adjuvant_therapy: N nc treatment 
admin_assistant: N job nc 
admin_clerk: N job nc 
administrative_assistant: N job nc 
administrative_body: N nc orgHN 
administrative_district: N nc 
administrative_division: N nc 
administrative_unit: N nc orgHN 
admiralty_mile: N nc unit 
admit_to: VB nt vc 
adoptive_immunotherapy: N nc treatment 
adoptive_parent: N nc per 
adoptive_transfer: N nc treatment 
adp_system: N nc prod tool 
adrenal_autoantibody_level: N abstract nc 
adrenal_gland: N bodyPart nc 
adrenal_medullectomy: N nc treatment 
adrenergic_receptor_blocking: N nc treatment 
adrenergic_stimulation: N nc treatment 
adrenocortical_carcinoma_cellular_diagnosis: N nc treatment 
adult_ALL_cellular_diagnosis: N nc treatment 
adult_ANLL_cellular_diagnosis: N nc treatment 
adult_Hodgkin's_disease_cellular_diagnosis: N nc treatment 
adult_NHL_cellular_diagnosis: N nc treatment 
adult_acute_lymphocytic_leukemia_cellular_diagnosis: N nc treatment 
adult_acute_myeloid_leukemia_cellular_diagnosis: N nc treatment 
adult_acute_nonlymphocytic_leukemia_cellular_diagnosis: N nc treatment 
adult_female: N nc per 
adult_male: N nc per 
adult_non-Hodgkin's_lymphoma_cellular_diagnosis: N nc treatment 
adult_primary_liver_cancer_cellular_diagnosis: N nc treatment 
adult_soft_tissue_sarcoma_cellular_diagnosis: N nc treatment 
advanced_country: N nc 
adverse_effect: N effectN nc nt 
adverse_reaction: N nc problem 
adverse_witness: N nc ness per 
advertising_agency: N com nc 
advertising_department: N nc orgHN 
advertising_division: N nc orgHN 
advisory_board: N nc orgHN 
advisory_panel: N nc orgHN 
advocacy_group: N nc orgHN 
aerial_torpedo: N nc tool 
aerial_tramway: N nc tool 
aerosol_can: N nc prod 
aerosol_container: N nc prod 
aesthetic_appeal: N nc pt 
af_lag: N nc nt 
affiliate_payment_coordinator: N job nc 
aflatoxin_b: N nc nt 
aflatoxin_b1: N nc nt 
aflatoxin_b2: N nc nt 
aflatoxin_g1: N nc nt 
aflatoxin_g2: N nc nt 
aflatoxin_m1: N nc nt 
aflatoxin_m2: N nc nt 
african_american: N nc origin per 
after-shave_lotion: N nc prod 
after_all's_said_and_done: RB idiomPP 
after_all_is_said_and_done: RB idiomPP 
after_feel: Key N nc 
after_hours: RB idiomPP 
after_taste: Key N nc 
against_all_odds: RB idiomPP 
against_the_grain: RB idiomPP 
against_the_odds: RB idiomPP 
against_the_tide: RB idiomPP 
agate_line: N nc unit 
agency_producer: N job nc 
agency_relationship_manager: N job nc 
agent_bank: N com nc 
agent_provocateur: N count job nc 
aggressive_challenge: N nc troubleW 
agonic_line: N nc 
agony_aunt: N nc per 
agricultural_agent: N job nc 
agriculture_secretary: N job nc 
ahead_of: P 
ahead_of_the_game: A ac idiomPP pred 
ahead_of_time: RB chgMeasure idiomPP 
aid_group: N nc orgHN 
ain't_shit: VB curse oral vc 
air_cell: N bodyPart nc 
air_cleaner: N nc prod 
air_compressor: N nc tool 
air_conditioner: N nc tool 
air_conditioning: N nc prod 
air_corps: N nc orgHN 
